epoch,class_accuracy,class_loss,class_mean_squared_error,loss,reg_accuracy,reg_loss,reg_mean_squared_error,val_class_accuracy,val_class_loss,val_class_mean_squared_error,val_loss,val_reg_accuracy,val_reg_loss,val_reg_mean_squared_error
0,0.6210640668869019,0.6680331826210022,0.229226753115654,4.605861663818359,0.0,3.9378280639648438,3.9378280639648438,0.6872963905334473,0.5468746423721313,0.18635033071041107,3.8937766551971436,0.0,3.3469018936157227,3.3469018936157227
1,0.7633007764816284,0.4543532431125641,0.1523655503988266,3.0853376388549805,0.0,2.630984306335449,2.630984306335449,0.7524430155754089,0.4886590540409088,0.16359861195087433,1.470748782157898,0.0,0.9820895791053772,0.9820895791053772
2,0.8110749125480652,0.3613598942756653,0.11774450540542603,2.6357004642486572,0.0,2.2743406295776367,2.2743406295776367,0.8045602440834045,0.4118269979953766,0.13582110404968262,1.5814224481582642,0.0,1.16959547996521,1.16959547996521
3,0.8599348664283752,0.3128184378147125,0.09851513803005219,2.205962896347046,0.0,1.8931448459625244,1.8931448459625244,0.8208469152450562,0.38961777091026306,0.12672384083271027,1.8083511590957642,0.0,1.4187333583831787,1.4187333583831787
4,0.8838219046592712,0.27001386880874634,0.08285662531852722,2.072875738143921,0.0,1.802862286567688,1.802862286567688,0.8143322467803955,0.3693598508834839,0.12065504491329193,1.9194800853729248,0.0,1.5501203536987305,1.5501203536987305
5,0.8903365731239319,0.24057909846305847,0.07493323087692261,1.9770044088363647,0.0,1.7364250421524048,1.7364250421524048,0.8306189179420471,0.36820268630981445,0.12042111158370972,1.6826850175857544,0.0,1.31448233127594,1.31448233127594
6,0.9218240976333618,0.20270974934101105,0.06124524027109146,1.716971516609192,0.0,1.5142618417739868,1.5142618417739868,0.8273615837097168,0.38293930888175964,0.12384562194347382,1.6953797340393066,0.0,1.3124405145645142,1.3124405145645142
7,0.9229098558425903,0.17914918065071106,0.0531809963285923,1.7318164110183716,0.0,1.5526670217514038,1.5526670217514038,0.8273615837097168,0.3824588358402252,0.12479821592569351,1.7648502588272095,0.0,1.3823914527893066,1.3823914527893066
8,0.9337676167488098,0.15806865692138672,0.04617750272154808,1.7328011989593506,0.0,1.5747323036193848,1.5747323036193848,0.8403908610343933,0.3779476583003998,0.12209600955247879,1.458508849143982,0.0,1.0805610418319702,1.0805610418319702
